Date,open,high,low,close,adj_close,volume
2000-01-03,116.03125,116.03125,113.0,113.5,65.19518280029297,1278800
2000-01-04,112.28125,112.96875,109.765625,109.765625,63.05010986328125,1535700
2000-01-05,110.0,112.375,109.03125,111.1875,63.866825103759766,2007000
2000-01-06,111.40625,113.171875,111.1875,111.75,64.18999481201172,2639500
2000-01-07,113.3125,115.5625,113.21875,115.5,66.34394073486328,3767400
2000-01-10,116.8125,116.8125,115.4375,116.0,66.63116455078125,762900
2000-01-11,115.15625,116.75,115.015625,115.140625,66.13752746582031,1658700
2000-01-12,115.5,116.1875,115.15625,115.4375,66.3080825805664,813300
2000-01-13,116.015625,116.625,115.21875,115.875,66.55934143066406,1192200
2000-01-14,117.46875,117.5,116.125,117.5,67.4927978515625,1935500
2000-01-18,116.4375,116.875,115.5,115.71875,66.46961212158203,656500
2000-01-19,115.625,115.796875,114.59375,115.5625,66.37987518310547,1003400
2000-01-20,115.9375,115.96875,112.65625,113.734375,65.32980346679688,887000
2000-01-21,114.1875,114.1875,112.3125,112.8125,64.84302520751953,783200
2000-01-24,113.25,113.625,109.0625,110.0,63.22642517089844,2066100
2000-01-25,110.59375,110.875,108.75,110.34375,63.424041748046875,1728200
2000-01-26,110.21875,111.375,110.125,110.46875,63.49588394165039,1001400
2000-01-27,111.125,111.609375,109.1875,110.46875,63.49588394165039,853900
2000-01-28,109.84375,110.0625,107.140625,107.40625,61.735572814941406,1253300
2000-01-31,107.140625,109.625,107.0,109.5,62.9390983581543,996600
2000-02-01,109.5625,110.71875,109.03125,110.28125,63.38807678222656,786500
2000-02-02,110.375,111.1875,109.65625,109.6875,63.04684066772461,618100
2000-02-03,110.625,110.65625,108.21875,110.5,63.51387405395508,863300
2000-02-04,110.4375,110.96875,109.34375,109.75,63.08266067504883,474000
2000-02-07,109.15625,109.46875,108.375,108.75,62.507957458496094,718900
2000-02-08,109.90625,110.34375,109.125,109.3125,62.83123779296875,993100
2000-02-09,109.1875,109.375,106.78125,106.90625,61.448184967041016,819900
2000-02-10,107.265625,107.59375,106.015625,107.0,61.50209045410156,1263500
2000-02-11,106.5625,106.5625,103.625,104.5,60.065147399902344,2148400
2000-02-14,105.0,105.59375,104.5625,105.5,60.63992691040039,1300800
2000-02-15,105.59375,107.875,105.015625,107.4375,61.75349426269531,1360000
2000-02-16,106.875,107.6875,105.75,105.8125,60.81951904296875,725800
2000-02-17,106.78125,106.859375,104.65625,104.78125,60.22676086425781,1164100
2000-02-18,105.0,105.0,102.0,102.25,58.844303131103516,1526700
2000-02-22,102.875,103.46875,101.0,102.8125,59.16802215576172,1518800
2000-02-23,102.96875,103.5,101.625,102.25,58.844303131103516,1558900
2000-02-24,102.5625,102.6875,99.5625,102.0,58.70044708251953,4518700
2000-02-25,100.59375,101.46875,98.1875,98.5625,56.72216033935547,3316900
2000-02-28,99.1875,101.625,98.25,100.140625,57.63038635253906,3068300
2000-02-29,101.1875,102.125,100.4375,101.5625,58.4486198425293,1205000
2000-03-01,101.78125,102.78125,100.6875,101.625,58.48462677001953,1136200
2000-03-02,101.46875,102.25,101.0,101.6875,58.52056121826172,576000
2000-03-03,103.34375,104.546875,103.0,103.875,59.77944564819336,1678200
2000-03-06,103.8125,103.984375,101.140625,101.71875,58.53852844238281,1220500
2000-03-07,101.46875,101.53125,97.53125,98.0,56.39839172363281,3745500
2000-03-08,98.75,99.375,97.15625,98.46875,56.66819381713867,2618900
2000-03-09,98.84375,100.4375,97.3125,100.328125,57.73826217651367,1715100
2000-03-10,99.90625,101.0625,98.96875,99.5625,57.29770278930664,1352600
2000-03-13,96.84375,100.1875,96.84375,99.625,57.333614349365234,1506500
2000-03-14,100.3125,100.6875,98.0,98.46875,56.66819381713867,854300
2000-03-15,98.625,101.984375,97.65625,101.625,58.48462677001953,2040200
2000-03-16,102.5625,106.875,102.40625,106.78125,61.45204162597656,4857700
2000-03-17,106.0,107.71875,105.671875,106.125,61.16481399536133,3710500
2000-03-20,106.28125,107.34375,105.890625,106.8125,61.56108093261719,1812000
2000-03-21,106.5625,109.1875,105.9375,109.125,62.89383316040039,2310300
